 total polar surface area,hydrophobic surface area ,topological polar surface atopological polar surface area  ,HBA,HBD,Hetero ring count,Aromatic ring count,RotBond,dipole moment ,logP(o/w),MW,Molar Refractivty,pic50
328.70636,607.7879,170.72,8,2,3,2,12,2.0640028,4.5799999,790.90601,20.532572,8.978810701
312.57739,640.98,204,9,3,3,1,12,1.6008741,2.7679999,784.85901,20.267714,7.70158362
198.62532,870.72,175.07,8,1,4,2,12,1.4886734,4.4829998,842.95801,22.060869,9.455931956
224.4631,749.26,157.83,7,2,2,2,12,0.64598,5.0219998,765.89996,20.677364,9.30980392
251.26599,841.91,157.83,7,2,2,1,13,1.7410048,5.2620001,771.948,20.841105,9.214670165
227.60197,696.67,157.83,7,2,2,1,12,1.0526514,3.763,715.83997,19.063757,9.638272164
256.36923,829.23,170.72,8,2,3,2,12,1.7859867,4.5799999,790.90601,20.532572,7.301029996
273.96289,737.74,170.72,8,2,3,2,11,1.6060461,4.138,776.87897,20.060585,9.026872146
360.95187,697.56,204,9,3,3,1,11,1.1831951,2.326,770.83197,19.795914,7.894149326
267.06973,762.43,170.63,8,1,4,0,11,1.5525974,3.467,830.94696,21.506388,10.15490196
255.22221,776.51,157.83,7,2,2,2,11,1.8019978,4.5799999,751.87299,20.208092,8.046240308
223.50655,873.28,157.83,7,2,2,1,12,0.88330311,4.8200002,757.92096,20.373198,7.301029996
262.79474,743.11,170.72,8,2,3,2,11,0.6091848,4.138,776.87897,20.060585,8.869666232
224.27861,743.36,170.72,8,2,3,2,10,1.3088069,4.6059999,774.86298,20.009462,9.30980392
381.70633,649.59,204,9,3,3,1,10,1.9922472,2.7939999,768.81598,19.744902,8.312471039
235.80693,804.36,175.07001,8,1,4,2,10,0.93526411,4.5089998,826.91498,21.541368,9.657577319
190.75337,772.86,157.83,7,2,2,2,10,1.3843737,5.0479999,749.85699,20.159103,8.995678626
215.26216,832.8,157.83,7,2,2,1,11,2.042958,5.2880001,755.90497,20.326963,9.15490196
245.68439,682.61,157.83,7,2,2,1,10,1.5742192,3.789,699.797,18.546276,9.200659451
269.87177,764.62,170.72,8,2,3,2,10,2.4966881,4.6059999,774.86298,20.009462,8.725842151
233.8213,837.78,170.72,8,2,3,3,10,1.8514795,5.9200001,824.92297,21.618519,8.642065153
299.91577,688.84,204,9,3,3,2,12,1.3905913,4.2729998,820.89197,21.607147,7.301029996
219.97806,808.55,170.63,8,1,4,1,12,1.815634,5.414,881.00696,23.317661,9.408935393
199.92018,788.7,157.83,7,2,2,3,12,1.7855085,6.527,801.93298,22.015085,8.482804102
181.64226,860.44,157.83,7,2,2,2,13,1.3246455,6.7670002,807.98096,22.182459,7.542572307
186.79015,822.15,170.72,8,2,3,3,12,2.2383687,6.085,826.93896,21.872261,8.653647026
